t_i	t_f	elapsed	project	comment
2020-09-12 09:08	2020-10-12 10:33	01:25:00	Django	
2020-09-12 10:33	2020-10-12 11:08	00:35:00	Tæknideildarfundur	
2020-09-12 11:09	2020-10-12 12:44	01:35:00	Django	
2020-10-12 12:44	2020-10-12 15:40	02:56:00	PV	
2020-10-12 21:05	2020-10-12 11:31	02:22:00	PV	
2020-10-13 11:29	2020-10-13 16:04	04:34:00	PV	
2020-10-13 22:34	2020-10-14 23:21	00:46:00	PV	
2020-10-14 08:55	2020-10-14 14:40	05:45:00	PV	
2020-10-14 15:14	2020-10-14 16:39	01:25:00	PV	
2020-10-15 14:11	2020-10-16 09:00	18:48:00	PV	
2020-10-16 09:00	2020-10-16 09:50	00:50:00	PV	
2020-10-16 09:50	2020-10-19 09:00	23:09:00	PV	
2020-10-19 09:00	2020-10-19 10:29	01:29:00	Titringsmælingar	
2020-10-19 10:29	2020-10-19 10:59	00:30:00	Tæknideildarfundur	
2020-10-19 20:22	2020-10-19 21:46	01:24:00	Titringsmælingar	
2020-10-20 12:47	2020-10-22 09:22	20:35:00	PV	
2020-10-22 09:23	2020-10-22 12:41	03:18:00	RN-37 úr gyro	
2020-10-23 11:31	2020-10-23 13:06	01:34:00	testing	
2020-10-23 13:12	2020-10-23 13:13	00:00:00	testing	
2020-10-23 13:14	2020-10-23 13:14	00:00:00	testing	
2020-09-23 13:15	2020-09-23 13:15	00:00:00	testing	
2020-10-23 14:52	2020-10-23 14:53	00:00:00	testing	
2020-10-23 15:01	2020-10-23 15:02	00:00:00	testing	
2020-10-23 15:52	2020-10-23 15:53	00:00:09	testing	
2020-10-23 21:31	2020-10-24 00:05	02:34:30	testing	
2020-10-24 00:24	2020-10-24 13:34	13:09:59	testing	
2020-10-24 13:39	2020-10-24 13:39	00:00:30	testing	
2020-10-24 13:45	2020-10-24 13:45	00:00:24	testing	
2020-10-25 13:43	2020-10-25 13:43	00:00:09	testing	
2020-10-25 13:59	2020-10-25 14:00	00:00:50	testing	
2020-10-25 14:01	2020-10-25 14:01	00:00:09	testing	
2020-10-25 14:05	2020-10-25 14:05	00:00:08	testing	
2020-10-25 14:26	2020-10-25 14:26	00:00:11	testing	
2020-10-25 14:27	2020-10-25 14:29	00:01:17	testing	
2020-10-25 14:34	2020-10-25 14:34	00:00:13	testing	
2020-10-25 20:11	2020-10-25 21:12	00:01:44	testing	
2020-10-25 21:12	2020-10-25 21:13	00:01:29	testing	
2020-10-25 21:16	2020-10-25 21:16	00:00:16	testing	
2020-10-25 21:19	2020-10-25 21:19	00:00:41	testing	
2020-10-25 21:19	2020-10-25 21:20	00:01:05	testing	
2020-10-25 21:52	2020-10-25 21:52	00:00:08	testing	
2020-10-25 21:59	2020-10-25 21:59	00:00:16	testing	
2020-10-25 22:00	2020-10-25 22:00	00:00:10	testing	
2020-10-25 22:01	2020-10-25 22:01	00:00:08	testing	
2020-10-25 22:02	2020-10-25 22:02	00:00:08	testing	
2020-10-25 22:06	2020-10-25 22:06	00:00:08	testing	
2020-10-25 22:07	2020-10-25 22:07	00:00:11	testing	
2020-10-25 23:13	2020-10-25 23:13	00:00:09	testing	
2020-10-25 23:13	2020-10-25 23:14	00:00:43	testing	
2020-10-25 23:15	2020-10-25 23:15	00:00:15	testing	
2020-10-25 23:19	2020-10-25 23:19	00:00:10	testing	
2020-10-25 23:29	2020-10-25 23:30	00:00:42	testing	
2020-10-25 23:30	2020-10-25 23:32	00:01:59	testing	
2020-10-25 23:32	2020-10-25 23:34	00:01:38	testing	
2020-10-25 23:37	2020-10-25 23:39	00:02:28	testing	
2020-10-26 00:00	2020-10-26 00:00	00:00:32	testing	
2020-10-26 00:00	2020-10-26 00:04	00:03:58	testing	
2020-10-26 00:04	2020-10-26 00:05	00:00:33	testing	
2020-10-26 00:05	2020-10-26 00:12	00:07:10	testing	
2020-10-26 00:12	2020-10-26 00:13	00:00:18	testing	
2020-10-26 00:13	2020-10-26 00:20	00:07:14	testing	
2020-10-26 00:20	2020-10-26 00:21	00:00:20	testing	
2020-10-26 00:25	2020-10-26 00:25	00:00:08	testing	
2020-10-26 00:25	2020-10-26 00:26	00:00:09	testing	
2020-10-26 00:27	2020-10-26 00:27	00:00:09	testing	
2020-10-26 00:27	2020-10-26 00:28	00:00:09	testing	
2020-10-26 08:33	2020-10-26 08:33	00:00:02	testing	
2020-10-26 08:41	2020-10-26 08:42	00:00:08	testing	
2020-10-26 08:51	2020-10-26 08:51	00:00:09	testing	
2020-10-26 08:59	2020-10-26 08:59	00:00:23	testing	
2020-10-26 08:59	2020-10-26 09:01	00:01:31	testing	
2020-10-26 09:01	2020-10-26 09:02	00:00:33	testing	
2020-10-26 09:17	2020-10-26 09:18	00:00:10	testing	
2020-10-26 09:19	2020-10-26 09:19	00:00:09	testing	
2020-10-26 09:20	2020-10-26 09:20	00:00:11	testing	
2020-10-26 10:08	2020-10-26 10:08	00:00:07	testing	
2020-10-26 11:11	2020-10-26 11:11	00:00:05	testing	
2020-10-26 11:24	2020-10-26 11:24	00:00:05	testing	comment thingy
2020-10-26 11:24	2020-10-26 11:26	00:01:25	testing	comment thingy
2020-10-26 11:27	2020-10-26 11:27	00:00:06	testing	comment thingy
2020-10-26 11:33	2020-10-26 11:34	00:00:07	testing	comment thingy
2020-10-26 11:41	2020-10-26 11:41	00:00:06	testing	comment thingy
2020-10-26 11:54	2020-10-27 08:13	20:18:51	testing	
2020-10-27 08:13	2020-10-27 09:05	00:51:04	testing	paths
2020-10-27 09:21	2020-10-27 09:21	00:00:06	testing	minor changes
2020-10-27 11:50	2020-10-27 11:50	00:00:06	testing	
2020-10-27 11:53	2020-10-27 11:53	00:00:05	testing	fonts
